Date,SPY,DIA,DAL,UAL
2022-12-23,382.910004,331.929993,33.16,38.389999
2022-12-27,381.399994,332.369995,32.900002,38.200001
2022-12-28,376.660004,328.570007,31.99,37.290001
2022-12-29,383.440002,332.059998,32.73,37.919998
2022-12-30,382.429993,331.329987,32.860001,37.700001
2023-01-03,380.820007,331.220001,32.610001,37.209999
2023-01-04,383.76001,332.559998,34.389999,39.720001
2023-01-05,379.380005,329.220001,35.23,41.240002
2023-01-06,388.079987,336.279999,36.029999,42.240002
2023-01-09,387.859985,335.290009,36.77,43.349998
2023-01-10,390.579987,337.230011,38.09,45.75
2023-01-11,395.519989,339.76001,38.18,47.709999
2023-01-12,396.959991,342,39.599998,51.299999
2023-01-13,398.5,343.040009,38.200001,51.650002
2023-01-17,397.769989,339.160004,38.259998,51.200001
2023-01-18,391.48999,332.970001,38.380001,48.860001
2023-01-19,388.640015,330.630005,38.349998,48.369999
2023-01-20,395.880005,333.670013,39.029999,49.459999
2023-01-23,400.630005,336.170013,39.080002,49.279999
2023-01-24,400.200012,337.100006,38.799999,49.299999
2023-01-25,400.350006,337.320007,39.380001,50.279999
2023-01-26,404.75,339.359985,39.220001,49.450001
2023-01-27,405.679993,339.609985,38.73,48.73
2023-01-30,400.589996,337.059998,38.400002,48.209999
2023-01-31,406.480011,340.829987,39.099998,48.959999
2023-02-01,410.799988,340.869995,39.889999,50.220001
2023-02-02,416.779999,340.429993,39.900002,52.310001
2023-02-03,412.350006,338.980011,39.580002,51.119999
2023-02-06,409.829987,338.480011,39.639999,50.919998
2023-02-07,415.190002,341.519989,39.59,50.75
2023-02-08,410.649994,339.420013,39.439999,50.77
2023-02-09,407.089996,337.079987,39.009998,49.82
2023-02-10,408.040009,338.730011,38.169998,48.860001
2023-02-13,412.829987,342.549988,38.599998,49.189999
2023-02-14,412.640015,341.140015,39.099998,50.060001
2023-02-15,413.980011,341.660004,39.02,49.91
2023-02-16,408.279999,337.390015,38.279999,48.990002
2023-02-17,407.26001,338.290009,38.360001,49.630001
2023-02-21,399.089996,331.25,37.099998,48.200001
2023-02-22,398.540009,330.519989,37.009998,48.779999
2023-02-23,400.660004,331.670013,37.529999,50.580002
2023-02-24,396.380005,328.119995,37.360001,50.209999
2023-02-27,397.730011,329.059998,37.84,50.700001
2023-02-28,396.26001,326.570007,38.34,51.959999
2023-03-01,394.73999,327,38.509998,52.389999
2023-03-02,397.809998,330.440002,38.419998,52.560001
2023-03-03,404.190002,334.209991,38.849998,53.060001
2023-03-06,404.470001,334.679993,38.459999,52.439999
2023-03-07,398.269989,328.869995,39.07,54.009998
2023-03-08,398.920013,328.48999,39.73,54.259998
2023-03-09,391.559998,323.079987,38.490002,52.119999
2023-03-10,385.910004,319.730011,37.25,50.970001
2023-03-13,385.359985,318.820007,35.68,48.830002
2023-03-14,391.730011,322.190002,35.470001,46.209999
2023-03-15,389.279999,319.540009,33.23,43.139999
2023-03-16,396.109985,323.25,33.709999,43.59
2023-03-17,389.98999,318.5,32.959999,43.040001
2023-03-20,393.73999,322.299988,33.139999,43.09
2023-03-21,398.910004,325.619995,33.889999,44.259998
2023-03-22,392.109985,320.179993,32.77,42.82
2023-03-23,393.170013,320.839996,32.139999,41.66
2023-03-24,395.75,322.320007,31.59,41.360001
2023-03-27,396.48999,324.309998,32.130001,41.939999
2023-03-28,395.600006,323.809998,32.470001,42.41
2023-03-29,401.350006,327.079987,33.32,43.470001
2023-03-30,403.700012,328.480011,34.110001,43.709999
2023-03-31,409.390015,332.619995,34.919998,44.25
2023-04-03,410.950012,335.910004,34.389999,43.349998
2023-04-04,408.670013,333.940002,33.919998,42.540001
2023-04-05,407.600006,334.820007,33.459999,42.029999
2023-04-06,409.190002,334.899994,33.689999,42.66
2023-04-10,409.609985,335.959991,33.970001,43.130001
2023-04-11,409.720001,336.899994,34.580002,44.32
2023-04-12,408.049988,336.609985,33.740002,41.439999
2023-04-13,413.470001,340.369995,33.369999,41.970001
2023-04-14,412.459991,338.839996,33.77,41.669998
2023-04-17,413.940002,339.920013,34.59,42.380001
2023-04-18,414.209991,339.799988,35.360001,43.040001
2023-04-19,414.140015,338.98999,35.93,46.27
2023-04-20,411.880005,337.950012,34.639999,44.889999
2023-04-21,412.200012,338.109985,34.330002,44.450001
2023-04-24,412.630005,338.75,34.119999,43.93
2023-04-25,406.079987,335.329987,33.110001,42.490002
2023-04-26,404.359985,332.950012,32.75,42.099998
2023-04-27,412.410004,338.200012,33.330002,42.830002
2023-04-28,415.929993,341.029999,34.310001,43.799999
2023-05-01,415.51001,340.359985,34.720001,44.41
2023-05-02,410.839996,336.869995,34.529999,44.529999
2023-05-03,408.019989,334.109985,34.130001,44.48
2023-05-04,405.130005,331.329987,33.080002,42.919998
2023-05-05,412.630005,336.730011,33.939999,44.810001
2023-05-08,412.73999,336.220001,34.200001,45.860001
2023-05-09,410.929993,335.769989,34.200001,46.360001
2023-05-10,412.850006,335.48999,33.799999,45.52
2023-05-11,412.130005,333.329987,33.220001,45.080002
2023-05-12,411.589996,333.200012,33.23,45.080002
2023-05-15,413.01001,333.769989,33.720001,45.200001
2023-05-16,410.25,330.350006,33.82,45.349998
2023-05-17,415.230011,334.609985,35.93,47.75
2023-05-18,419.230011,336.059998,35.889999,48.130001
2023-05-19,418.619995,334.190002,35.59,47.540001
2023-05-22,418.790009,332.899994,35.459999,47.41
2023-05-23,414.089996,330.609985,35.91,47.869999
2023-05-24,411.089996,328.01001,34.93,46.66
2023-05-25,414.649994,327.75,35.75,47.48
2023-05-26,420.019989,330.839996,35.889999,47.259998
2023-05-30,420.179993,330.519989,36.279999,48.009998
2023-05-31,417.850006,329.519989,36.330002,47.470001
2023-06-01,421.820007,330.940002,36.380001,47.41
2023-06-02,427.920013,338.070007,37.009998,48.5
2023-06-05,427.100006,336.130005,37.099998,48.259998
2023-06-06,428.029999,336.170013,37.639999,48.790001
2023-06-07,426.549988,337.170013,38.23,49.389999
2023-06-08,429.130005,338.809998,39.110001,49.869999
2023-06-09,429.899994,339.269989,39.279999,50.419998
2023-06-12,433.799988,341.170013,40.200001,51.310001
2023-06-13,436.660004,342.619995,41.560001,53.189999
2023-06-14,437.179993,340.420013,42.189999,53.349998
2023-06-15,442.600006,344.769989,42.880001,53.580002
2023-06-16,439.459991,342.950012,42.790001,53.5
2023-06-20,437.179993,340.459991,42.48,52.700001
2023-06-21,434.940002,339.429993,42.790001,52.849998
2023-06-22,436.51001,339.339996,42.939999,53.049999
2023-06-23,433.209991,337.160004,42.860001,52.650002
2023-06-26,431.440002,337.140015,43.139999,53.32
2023-06-27,436.170013,339.230011,46.09,56.029999
2023-06-28,436.390015,338.630005,46.709999,56.299999
2023-06-29,438.109985,341.160004,46.310001,53.720001
2023-06-30,443.279999,343.850006,47.540001,54.869999
2023-07-03,443.790009,344.070007,47.959999,55.060001
2023-07-05,443.130005,342.809998,48.52,55.630001
2023-07-06,439.660004,339.230011,47.330002,54.419998
2023-07-07,438.549988,337.429993,47.880001,55.389999
2023-07-10,439.660004,339.579987,48.459999,56.330002
2023-07-11,442.459991,342.640015,48.66,56.18
2023-07-12,446.019989,343.630005,47.950001,55.400002
2023-07-13,449.559998,343.920013,47.709999,55.23
2023-07-14,449.279999,345.170013,46.490002,53.34
2023-07-17,450.839996,345.850006,46.799999,53.330002
2023-07-18,454.190002,349.579987,48.369999,54.790001
2023-07-19,455.200012,350.690002,48.549999,54.799999
2023-07-20,452.179993,352.429993,48.689999,56.57
2023-07-21,452.179993,352.140015,48.549999,57.610001
2023-07-24,454.200012,354.070007,47.48,56.060001
2023-07-25,455.440002,354.320007,46.439999,54.220001
2023-07-26,455.51001,355.25,46.43,54.57
2023-07-27,452.48999,352.769989,45.75,53.259998
2023-07-28,456.920013,354.480011,45.720001,54.169998
2023-07-31,457.790009,355.570007,46.259998,54.310001
2023-08-01,456.480011,356.200012,45.400002,53.259998
2023-08-02,450.130005,352.73999,44.799999,52.669998
2023-08-03,448.839996,351.98999,44.189999,52.16
2023-08-04,446.809998,350.649994,44.59,52.369999
2023-08-07,450.709991,354.619995,45.240002,53.68
2023-08-08,448.75,353.019989,45.790001,54.860001
2023-08-09,445.75,351.279999,45.029999,53.130001
2023-08-10,445.910004,351.890015,44.860001,52.950001
2023-08-11,445.649994,353,44.169998,52.259998
2023-08-14,448.109985,353.209991,44.23,52.310001
2023-08-15,442.890015,349.609985,43.02,51.34
2023-08-16,439.640015,347.769989,42.669998,50.720001
2023-08-17,436.290009,345.059998,41.779999,49.529999
2023-08-18,436.5,345.119995,41.490002,49.099998
2023-08-21,439.339996,344.670013,41.740002,49.630001
2023-08-22,438.149994,342.959991,41.610001,49.43
2023-08-23,443.029999,344.829987,42.200001,50.389999
2023-08-24,436.890015,341.029999,41.900002,49.400002
2023-08-25,439.970001,343.5,41.700001,48.939999
2023-08-28,442.76001,345.709991,42.41,49.189999
2023-08-29,449.160004,348.619995,43.77,50.279999
2023-08-30,451.01001,349.399994,43.23,50.099998
2023-08-31,450.350006,347.809998,42.880001,49.810001
2023-09-01,451.190002,348.980011,42.860001,49.720001
2023-09-05,449.23999,346.980011,41.759998,48.470001
2023-09-06,446.220001,345,41.709999,48.34
2023-09-07,444.850006,345.690002,41.130001,47.68
2023-09-08,445.519989,346.51001,40.82,47.439999
2023-09-11,448.450012,347.369995,40.84,47.689999
2023-09-12,445.98999,347.209991,40.689999,47.599998
2023-09-13,446.51001,346.549988,39.549999,45.790001
2023-09-14,450.359985,349.940002,39.330002,45.419998
2023-09-15,443.369995,346.140015,39.900002,45.700001
2023-09-18,443.630005,346.149994,38.889999,44.630001
2023-09-19,442.709991,345.070007,39.450001,45.240002
2023-09-20,438.640015,344.320007,38.880001,44.360001
2023-09-21,431.390015,340.579987,38.299999,43.689999
2023-09-22,430.420013,339.579987,37.669998,43.07
2023-09-25,432.230011,339.980011,37.560001,42.93
2023-09-26,425.880005,336.040009,36.77,42.650002
2023-09-27,426.049988,335.429993,36.66,42.029999
2023-09-28,428.519989,336.619995,36.950001,42.310001
2023-09-29,427.480011,334.950012,37,42.299999
2023-10-02,427.309998,334.089996,36.450001,41.619999
2023-10-03,421.589996,329.980011,35.240002,40.529999
2023-10-04,424.660004,330.98999,36.060001,41.41
2023-10-05,424.5,331.170013,36.439999,41.32
2023-10-06,429.540009,334.100006,37,41.82
2023-10-09,432.290009,336.089996,35.279999,39.779999
2023-10-10,434.540009,337.450012,35.830002,40.389999
2023-10-11,436.320007,338.029999,35.98,41
2023-10-12,433.660004,336.269989,35.150002,39.82
2023-10-13,431.5,336.679993,34.099998,38.720001
2023-10-16,436.040009,339.890015,34.419998,39.529999
2023-10-17,436.019989,339.98999,34.68,40.119999
2023-10-18,430.209991,336.630005,33.139999,36.240002
2023-10-19,426.429993,334.119995,32.709999,36.029999
2023-10-20,421.190002,331.190002,32.23,35.09
2023-10-23,420.459991,329.320007,32.040001,35.380001
2023-10-24,423.630005,331.440002,32.02,35.139999
2023-10-25,417.549988,330.350006,31.41,34.849998
2023-10-26,412.549988,327.820007,31.6,34.919998
2023-10-27,410.679993,324.190002,30.65,33.900002
2023-10-30,415.589996,329.230011,31.23,34.799999
2023-10-31,418.200012,330.480011,31.25,35.009998
2023-11-01,422.660004,332.679993,31.110001,34.810001
2023-11-02,430.76001,338.390015,32.02,35.82
2023-11-03,434.690002,340.609985,33.349998,37.509998
2023-11-06,435.690002,341.040009,32.919998,36.759998
2023-11-07,436.929993,341.540009,33.439999,37.029999
2023-11-08,437.25,341.119995,34.169998,38.040001
2023-11-09,433.839996,339.109985,33.48,37.32
2023-11-10,440.609985,343.01001,34.060001,37.990002
2023-11-13,440.190002,343.570007,34.169998,38.110001
2023-11-14,448.730011,348.420013,35.240002,39.380001
2023-11-15,449.679993,350.269989,35.759998,39.939999
2023-11-16,450.230011,350.019989,35.509998,39.279999
2023-11-17,450.790009,349.429993,36.060001,39.759998
2023-11-20,454.26001,351.519989,36.5,40.02
2023-11-21,453.269989,350.820007,35.880001,39.439999
2023-11-22,455.019989,352.559998,35.950001,39.799999
2023-11-24,455.299988,353.799988,36.099998,39.709999
2023-11-27,454.480011,353.320007,35.84,39.209999
2023-11-28,454.929993,354.109985,36.040001,38.959999
2023-11-29,454.609985,354.649994,36.639999,39.25
2023-11-30,456.399994,360,36.93,39.400002
2023-12-01,459.100006,363.049988,38.049999,40.240002
2023-12-04,456.690002,362.640015,38.16,40.52
2023-12-05,456.600006,361.910004,37.610001,39.59
2023-12-06,454.76001,361.220001,38.939999,40.93
2023-12-07,458.230011,361.829987,40.34,41.259998
2023-12-08,460.200012,363.119995,40.349998,40.970001
2023-12-11,461.98999,364.690002,40.509998,40.560001
2023-12-12,464.100006,366.410004,41.240002,41.099998
2023-12-13,470.5,371.73999,41.189999,41.580002
2023-12-14,472.01001,373.329987,42.439999,43.59
2023-12-15,469.329987,372.630005,42.34,43.580002
2023-12-18,471.970001,372.980011,41.18,42.330002
2023-12-19,474.839996,375.5,41.150002,42.419998
2023-12-20,468.26001,370.799988,40.34,41.18
2023-12-21,472.700012,373.880005,41.119999,42.580002
2023-12-22,473.649994,373.799988,41.130001,42.549999